,Year,CostProvinceShort,DollarPerAcre,InflationScaler,DollarPerHectare
1,1921,PE,35,10.0,14.164305949008497
2,1921,NS,23,10.0,9.307972480777012
3,1921,NB,23,10.0,9.307972480777012
4,1921,QC,50,10.0,20.234722784297855
5,1921,ON,57,10.0,23.067583974099556
6,1921,MB,34,10.0,13.759611493322542
7,1921,SK,29,10.0,11.736139214892756
8,1921,AB,25,10.0,10.117361392148927
9,1921,BC,60,10.0,24.281667341157426
11,1922,PE,36,10.869565217391305,14.569000404694455
12,1922,NS,22,10.869565217391305,8.903278025091057
13,1922,NB,26,10.869565217391305,10.522055847834885
14,1922,QC,50,10.869565217391305,20.234722784297855
15,1922,ON,58,10.869565217391305,23.47227842978551
16,1922,MB,30,10.869565217391305,12.140833670578713
17,1922,SK,27,10.869565217391305,10.92675030352084
18,1922,AB,21,10.869565217391305,8.498583569405099
19,1922,BC,59,10.869565217391305,23.876972885471467
21,1923,PE,41,10.869565217391305,16.592472683124242
22,1923,NS,20,10.869565217391305,8.093889113719142
23,1923,NB,26,10.869565217391305,10.522055847834885
24,1923,QC,49,10.869565217391305,19.8300283286119
25,1923,ON,59,10.869565217391305,23.876972885471467
26,1923,MB,26,10.869565217391305,10.522055847834885
27,1923,SK,23,10.869565217391305,9.307972480777012
28,1923,AB,21,10.869565217391305,8.498583569405099
29,1923,BC,49,10.869565217391305,19.8300283286119
31,1924,PE,33,11.11111111111111,13.354917037636584
32,1924,NS,21,11.11111111111111,8.498583569405099
33,1924,NB,22,11.11111111111111,8.903278025091057
34,1924,QC,47,11.11111111111111,19.020639417239984
35,1924,ON,61,11.11111111111111,24.686361796843382
36,1924,MB,26,11.11111111111111,10.522055847834885
37,1924,SK,23,11.11111111111111,9.307972480777012
38,1924,AB,21,11.11111111111111,8.498583569405099
39,1924,BC,48,11.11111111111111,19.42533387292594
41,1925,PE,39,10.989010989010989,15.783083771752326
42,1925,NS,24,10.989010989010989,9.71266693646297
43,1925,NB,27,10.989010989010989,10.92675030352084
44,1925,QC,48,10.989010989010989,19.42533387292594
45,1925,ON,63,10.989010989010989,25.495750708215297
46,1925,MB,26,10.989010989010989,10.522055847834885
47,1925,SK,23,10.989010989010989,9.307972480777012
48,1925,AB,22,10.989010989010989,8.903278025091057
49,1925,BC,44,10.989010989010989,17.806556050182113
51,1926,PE,41,10.869565217391305,16.592472683124242
52,1926,NS,24,10.869565217391305,9.71266693646297
53,1926,NB,24,10.869565217391305,9.71266693646297
54,1926,QC,48,10.869565217391305,19.42533387292594
55,1926,ON,59,10.869565217391305,23.876972885471467
56,1926,MB,25,10.869565217391305,10.117361392148927
57,1926,SK,23,10.869565217391305,9.307972480777012
58,1926,AB,21,10.869565217391305,8.498583569405099
59,1926,BC,40,10.869565217391305,16.187778227438283
61,1927,PE,38,10.989010989010989,15.37838931606637
62,1927,NS,24,10.989010989010989,9.71266693646297
63,1927,NB,23,10.989010989010989,9.307972480777012
64,1927,QC,52,10.989010989010989,21.04411169566977
65,1927,ON,63,10.989010989010989,25.495750708215297
66,1927,MB,24,10.989010989010989,9.71266693646297
67,1927,SK,23,10.989010989010989,9.307972480777012
68,1927,AB,23,10.989010989010989,9.307972480777012
69,1927,BC,45,10.989010989010989,18.21125050586807
71,1928,PE,42,10.989010989010989,16.997167138810198
72,1928,NS,22,10.989010989010989,8.903278025091057
73,1928,NB,23,10.989010989010989,9.307972480777012
74,1928,QC,50,10.989010989010989,20.234722784297855
75,1928,ON,61,10.989010989010989,24.686361796843382
76,1928,MB,25,10.989010989010989,10.117361392148927
77,1928,SK,24,10.989010989010989,9.71266693646297
78,1928,AB,23,10.989010989010989,9.307972480777012
79,1928,BC,47,10.989010989010989,19.020639417239984
81,1929,PE,42,10.869565217391305,16.997167138810198
82,1929,NS,24,10.869565217391305,9.71266693646297
83,1929,NB,26,10.869565217391305,10.522055847834885
84,1929,QC,52,10.869565217391305,21.04411169566977
85,1929,ON,59,10.869565217391305,23.876972885471467
86,1929,MB,25,10.869565217391305,10.117361392148927
87,1929,SK,23,10.869565217391305,9.307972480777012
88,1929,AB,23,10.869565217391305,9.307972480777012
89,1929,BC,47,10.869565217391305,19.020639417239984
91,1930,PE,43,10.989010989010989,17.401861594496154
92,1930,NS,20,10.989010989010989,8.093889113719142
93,1930,NB,20,10.989010989010989,8.093889113719142
94,1930,QC,47,10.989010989010989,19.020639417239984
95,1930,ON,52,10.989010989010989,21.04411169566977
96,1930,MB,22,10.989010989010989,8.903278025091057
97,1930,SK,20,10.989010989010989,8.093889113719142
98,1930,AB,20,10.989010989010989,8.093889113719142
99,1930,BC,41,10.989010989010989,16.592472683124242
101,1931,PE,36,12.195121951219512,14.569000404694455
102,1931,NS,19,12.195121951219512,7.689194658033185
103,1931,NB,19,12.195121951219512,7.689194658033185
104,1931,QC,40,12.195121951219512,16.187778227438283
105,1931,ON,47,12.195121951219512,19.020639417239984
106,1931,MB,19,12.195121951219512,7.689194658033185
107,1931,SK,18,12.195121951219512,7.284500202347227
108,1931,AB,17,12.195121951219512,6.879805746661271
109,1931,BC,41,12.195121951219512,16.592472683124242
111,1932,PE,32,13.333333333333334,12.950222581950626
112,1932,NS,18,13.333333333333334,7.284500202347227
113,1932,NB,17,13.333333333333334,6.879805746661271
114,1932,QC,35,13.333333333333334,14.164305949008497
115,1932,ON,38,13.333333333333334,15.37838931606637
116,1932,MB,16,13.333333333333334,6.475111290975313
117,1932,SK,15,13.333333333333334,6.070416835289357
118,1932,AB,14,13.333333333333334,5.665722379603399
119,1932,BC,35,13.333333333333334,14.164305949008497
121,1933,PE,33,14.084507042253522,13.354917037636584
122,1933,NS,17,14.084507042253522,6.879805746661271
123,1933,NB,17,14.084507042253522,6.879805746661271
124,1933,QC,32,14.084507042253522,12.950222581950626
125,1933,ON,37,14.084507042253522,14.973694860380412
126,1933,MB,16,14.084507042253522,6.475111290975313
127,1933,SK,15,14.084507042253522,6.070416835289357
128,1933,AB,13,14.084507042253522,5.2610279239174425
129,1933,BC,34,14.084507042253522,13.759611493322542
131,1934,PE,34,13.88888888888889,13.759611493322542
132,1934,NS,17,13.88888888888889,6.879805746661271
133,1934,NB,16,13.88888888888889,6.475111290975313
134,1934,QC,29,13.88888888888889,11.736139214892756
135,1934,ON,40,13.88888888888889,16.187778227438283
136,1934,MB,16,13.88888888888889,6.475111290975313
137,1934,SK,15,13.88888888888889,6.070416835289357
138,1934,AB,13,13.88888888888889,5.2610279239174425
139,1934,BC,32,13.88888888888889,12.950222581950626
141,1935,PE,30,13.698630136986301,12.140833670578713
142,1935,NS,19,13.698630136986301,7.689194658033185
143,1935,NB,17,13.698630136986301,6.879805746661271
144,1935,QC,33,13.698630136986301,13.354917037636584
145,1935,ON,40,13.698630136986301,16.187778227438283
146,1935,MB,16,13.698630136986301,6.475111290975313
147,1935,SK,16,13.698630136986301,6.475111290975313
148,1935,AB,13,13.698630136986301,5.2610279239174425
149,1935,BC,30,13.698630136986301,12.140833670578713
151,1936,PE,30,13.513513513513512,12.140833670578713
152,1936,NS,21,13.513513513513512,8.498583569405099
153,1936,NB,18,13.513513513513512,7.284500202347227
154,1936,QC,29,13.513513513513512,11.736139214892756
155,1936,ON,41,13.513513513513512,16.592472683124242
156,1936,MB,14,13.513513513513512,5.665722379603399
157,1936,SK,14,13.513513513513512,5.665722379603399
158,1936,AB,13,13.513513513513512,5.2610279239174425
159,1936,BC,31,13.513513513513512,12.545528126264669
161,1937,PE,32,12.987012987012987,12.950222581950626
162,1937,NS,19,12.987012987012987,7.689194658033185
163,1937,NB,17,12.987012987012987,6.879805746661271
164,1937,QC,29,12.987012987012987,11.736139214892756
165,1937,ON,42,12.987012987012987,16.997167138810198
166,1937,MB,15,12.987012987012987,6.070416835289357
167,1937,SK,13,12.987012987012987,5.2610279239174425
168,1937,AB,12,12.987012987012987,4.856333468231485
169,1937,BC,29,12.987012987012987,11.736139214892756
171,1938,PE,33,12.987012987012987,13.354917037636584
172,1938,NS,17,12.987012987012987,6.879805746661271
173,1938,NB,17,12.987012987012987,6.879805746661271
174,1938,QC,28,12.987012987012987,11.331444759206798
175,1938,ON,40,12.987012987012987,16.187778227438283
176,1938,MB,14,12.987012987012987,5.665722379603399
177,1938,SK,13,12.987012987012987,5.2610279239174425
178,1938,AB,11,12.987012987012987,4.451639012545528
179,1938,BC,30,12.987012987012987,12.140833670578713
181,1939,PE,32,12.987012987012987,12.950222581950626
182,1939,NS,19,12.987012987012987,7.689194658033185
183,1939,NB,18,12.987012987012987,7.284500202347227
184,1939,QC,29,12.987012987012987,11.736139214892756
185,1939,ON,40,12.987012987012987,16.187778227438283
186,1939,MB,14,12.987012987012987,5.665722379603399
187,1939,SK,12,12.987012987012987,4.856333468231485
188,1939,AB,12,12.987012987012987,4.856333468231485
189,1939,BC,29,12.987012987012987,11.736139214892756
191,1940,PE,28,12.5,11.331444759206798
192,1940,NS,16,12.5,6.475111290975313
193,1940,NB,14,12.5,5.665722379603399
194,1940,QC,28,12.5,11.331444759206798
195,1940,ON,39,12.5,15.783083771752326
196,1940,MB,13,12.5,5.2610279239174425
197,1940,SK,12,12.5,4.856333468231485
198,1940,AB,12,12.5,4.856333468231485
199,1940,BC,28,12.5,11.331444759206798
201,1941,PE,29,11.764705882352942,11.736139214892756
202,1941,NS,17,11.764705882352942,6.879805746661271
203,1941,NB,15,11.764705882352942,6.070416835289357
204,1941,QC,30,11.764705882352942,12.140833670578713
205,1941,ON,37,11.764705882352942,14.973694860380412
206,1941,MB,14,11.764705882352942,5.665722379603399
207,1941,SK,11,11.764705882352942,4.451639012545528
208,1941,AB,11,11.764705882352942,4.451639012545528
209,1941,BC,28,11.764705882352942,11.331444759206798
211,1942,PE,31,11.363636363636363,12.545528126264669
212,1942,NS,18,11.363636363636363,7.284500202347227
213,1942,NB,17,11.363636363636363,6.879805746661271
214,1942,QC,34,11.363636363636363,13.759611493322542
215,1942,ON,39,11.363636363636363,15.783083771752326
216,1942,MB,14,11.363636363636363,5.665722379603399
217,1942,SK,12,11.363636363636363,4.856333468231485
218,1942,AB,12,11.363636363636363,4.856333468231485
219,1942,BC,31,11.363636363636363,12.545528126264669
221,1943,PE,30,11.11111111111111,12.140833670578713
222,1943,NS,19,11.11111111111111,7.689194658033185
223,1943,NB,19,11.11111111111111,7.689194658033185
224,1943,QC,36,11.11111111111111,14.569000404694455
225,1943,ON,45,11.11111111111111,18.21125050586807
226,1943,MB,15,11.11111111111111,6.070416835289357
227,1943,SK,12,11.11111111111111,4.856333468231485
228,1943,AB,13,11.11111111111111,5.2610279239174425
229,1943,BC,33,11.11111111111111,13.354917037636584
231,1944,PE,33,10.989010989010989,13.354917037636584
232,1944,NS,22,10.989010989010989,8.903278025091057
233,1944,NB,22,10.989010989010989,8.903278025091057
234,1944,QC,36,10.989010989010989,14.569000404694455
235,1944,ON,46,10.989010989010989,18.615944961554025
236,1944,MB,16,10.989010989010989,6.475111290975313
237,1944,SK,13,10.989010989010989,5.2610279239174425
238,1944,AB,14,10.989010989010989,5.665722379603399
239,1944,BC,36,10.989010989010989,14.569000404694455
241,1945,PE,34,10.869565217391305,13.759611493322542
242,1945,NS,22,10.869565217391305,8.903278025091057
243,1945,NB,22,10.869565217391305,8.903278025091057
244,1945,QC,36,10.869565217391305,14.569000404694455
245,1945,ON,44,10.869565217391305,17.806556050182113
246,1945,MB,17,10.869565217391305,6.879805746661271
247,1945,SK,14,10.869565217391305,5.665722379603399
248,1945,AB,15,10.869565217391305,6.070416835289357
249,1945,BC,38,10.869565217391305,15.37838931606637
251,1946,PE,32,10.638297872340425,12.950222581950626
252,1946,NS,22,10.638297872340425,8.903278025091057
253,1946,NB,21,10.638297872340425,8.498583569405099
254,1946,QC,38,10.638297872340425,15.37838931606637
255,1946,ON,46,10.638297872340425,18.615944961554025
256,1946,MB,20,10.638297872340425,8.093889113719142
257,1946,SK,15,10.638297872340425,6.070416835289357
258,1946,AB,16,10.638297872340425,6.475111290975313
259,1946,BC,41,10.638297872340425,16.592472683124242
261,1947,PE,36,9.70873786407767,14.569000404694455
262,1947,NS,25,9.70873786407767,10.117361392148927
263,1947,NB,24,9.70873786407767,9.71266693646297
264,1947,QC,40,9.70873786407767,16.187778227438283
265,1947,ON,49,9.70873786407767,19.8300283286119
266,1947,MB,21,9.70873786407767,8.498583569405099
267,1947,SK,16,9.70873786407767,6.475111290975313
268,1947,AB,18,9.70873786407767,7.284500202347227
269,1947,BC,45,9.70873786407767,18.21125050586807
271,1948,PE,38,8.47457627118644,15.37838931606637
272,1948,NS,26,8.47457627118644,10.522055847834885
273,1948,NB,24,8.47457627118644,9.71266693646297
274,1948,QC,42,8.47457627118644,16.997167138810198
275,1948,ON,52,8.47457627118644,21.04411169566977
276,1948,MB,26,8.47457627118644,10.522055847834885
277,1948,SK,18,8.47457627118644,7.284500202347227
278,1948,AB,21,8.47457627118644,8.498583569405099
279,1948,BC,49,8.47457627118644,19.8300283286119
281,1949,PE,39,8.196721311475411,15.783083771752326
282,1949,NS,26,8.196721311475411,10.522055847834885
283,1949,NB,25,8.196721311475411,10.117361392148927
284,1949,QC,39,8.196721311475411,15.783083771752326
285,1949,ON,54,8.196721311475411,21.85350060704168
286,1949,MB,27,8.196721311475411,10.92675030352084
287,1949,SK,18,8.196721311475411,7.284500202347227
288,1949,AB,22,8.196721311475411,8.903278025091057
289,1949,BC,53,8.196721311475411,21.448806151355726
291,1950,PE,40,8.0,16.187778227438283
292,1950,NS,28,8.0,11.331444759206798
293,1950,NB,28,8.0,11.331444759206798
294,1950,QC,45,8.0,18.21125050586807
295,1950,ON,57,8.0,23.067583974099556
296,1950,MB,28,8.0,11.331444759206798
297,1950,SK,18,8.0,7.284500202347227
298,1950,AB,22,8.0,8.903278025091057
299,1950,BC,55,8.0,22.25819506272764
301,1951,PE,44,7.246376811594202,17.806556050182113
302,1951,NS,30,7.246376811594202,12.140833670578713
303,1951,NB,28,7.246376811594202,11.331444759206798
304,1951,QC,50,7.246376811594202,20.234722784297855
305,1951,ON,68,7.246376811594202,27.519222986645083
306,1951,MB,30,7.246376811594202,12.140833670578713
307,1951,SK,19,7.246376811594202,7.689194658033185
308,1951,AB,23,7.246376811594202,9.307972480777012
309,1951,BC,59,7.246376811594202,23.876972885471467
311,1952,PE,45,7.042253521126761,18.21125050586807
312,1952,NS,30,7.042253521126761,12.140833670578713
313,1952,NB,29,7.042253521126761,11.736139214892756
314,1952,QC,52,7.042253521126761,21.04411169566977
315,1952,ON,71,7.042253521126761,28.733306353702954
316,1952,MB,31,7.042253521126761,12.545528126264669
317,1952,SK,20,7.042253521126761,8.093889113719142
318,1952,AB,23,7.042253521126761,9.307972480777012
319,1952,BC,61,7.042253521126761,24.686361796843382
321,1953,PE,45,7.142857142857143,18.21125050586807
322,1953,NS,31,7.142857142857143,12.545528126264669
323,1953,NB,30,7.142857142857143,12.140833670578713
324,1953,QC,53,7.142857142857143,21.448806151355726
325,1953,ON,78,7.142857142857143,31.56616754350465
326,1953,MB,35,7.142857142857143,14.164305949008497
327,1953,SK,21,7.142857142857143,8.498583569405099
328,1953,AB,29,7.142857142857143,11.736139214892756
329,1953,BC,68,7.142857142857143,27.519222986645083
331,1954,PE,44,7.092198581560284,17.806556050182113
332,1954,NS,32,7.092198581560284,12.950222581950626
333,1954,NB,31,7.092198581560284,12.545528126264669
334,1954,QC,55,7.092198581560284,22.25819506272764
335,1954,ON,82,7.092198581560284,33.184945366248485
336,1954,MB,32,7.092198581560284,12.950222581950626
337,1954,SK,20,7.092198581560284,8.093889113719142
338,1954,AB,27,7.092198581560284,10.92675030352084
339,1954,BC,72,7.092198581560284,29.13800080938891
341,1955,PE,44,7.092198581560284,17.806556050182113
342,1955,NS,33,7.092198581560284,13.354917037636584
343,1955,NB,32,7.092198581560284,12.950222581950626
344,1955,QC,56,7.092198581560284,22.662889518413596
345,1955,ON,90,7.092198581560284,36.42250101173614
346,1955,MB,33,7.092198581560284,13.354917037636584
347,1955,SK,22,7.092198581560284,8.903278025091057
348,1955,AB,28,7.092198581560284,11.331444759206798
349,1955,BC,78,7.092198581560284,31.56616754350465
351,1956,PE,46,6.9930069930069925,18.615944961554025
352,1956,NS,34,6.9930069930069925,13.759611493322542
353,1956,NB,32,6.9930069930069925,12.950222581950626
354,1956,QC,59,6.9930069930069925,23.876972885471467
355,1956,ON,95,6.9930069930069925,38.445973290165924
356,1956,MB,35,6.9930069930069925,14.164305949008497
357,1956,SK,24,6.9930069930069925,9.71266693646297
358,1956,AB,29,6.9930069930069925,11.736139214892756
359,1956,BC,81,6.9930069930069925,32.78025091056252
361,1957,PE,46,6.756756756756756,18.615944961554025
362,1957,NS,35,6.756756756756756,14.164305949008497
363,1957,NB,34,6.756756756756756,13.759611493322542
364,1957,QC,60,6.756756756756756,24.281667341157426
365,1957,ON,101,6.756756756756756,40.874140024281665
366,1957,MB,34,6.756756756756756,13.759611493322542
367,1957,SK,24,6.756756756756756,9.71266693646297
368,1957,AB,28,6.756756756756756,11.331444759206798
369,1957,BC,88,6.756756756756756,35.613112100364226
371,1958,PE,49,6.578947368421053,19.8300283286119
372,1958,NS,36,6.578947368421053,14.569000404694455
373,1958,NB,35,6.578947368421053,14.164305949008497
374,1958,QC,63,6.578947368421053,25.495750708215297
375,1958,ON,112,6.578947368421053,45.32577903682719
376,1958,MB,36,6.578947368421053,14.569000404694455
377,1958,SK,25,6.578947368421053,10.117361392148927
378,1958,AB,32,6.578947368421053,12.950222581950626
379,1958,BC,94,6.578947368421053,38.04127883447997
381,1959,PE,52,6.5359477124183005,21.04411169566977
382,1959,NS,37,6.5359477124183005,14.973694860380412
383,1959,NB,37,6.5359477124183005,14.973694860380412
384,1959,QC,65,6.5359477124183005,26.305139619587212
385,1959,ON,125,6.5359477124183005,50.58680696074464
386,1959,MB,35,6.5359477124183005,14.164305949008497
387,1959,SK,26,6.5359477124183005,10.522055847834885
388,1959,AB,32,6.5359477124183005,12.950222581950626
389,1959,BC,104,6.5359477124183005,42.08822339133954
391,1960,PE,54,6.451612903225806,21.85350060704168
392,1960,NS,39,6.451612903225806,15.783083771752326
393,1960,NB,39,6.451612903225806,15.783083771752326
394,1960,QC,68,6.451612903225806,27.519222986645083
395,1960,ON,126,6.451612903225806,50.991501416430594
396,1960,MB,38,6.451612903225806,15.37838931606637
397,1960,SK,28,6.451612903225806,11.331444759206798
398,1960,AB,35,6.451612903225806,14.164305949008497
399,1960,BC,109,6.451612903225806,44.111695669769325
401,1961,PE,55,6.369426751592357,22.25819506272764
402,1961,NS,40,6.369426751592357,16.187778227438283
403,1961,NB,41,6.369426751592357,16.592472683124242
404,1961,QC,73,6.369426751592357,29.54269526507487
405,1961,ON,138,6.369426751592357,55.84783488466208
406,1961,MB,40,6.369426751592357,16.187778227438283
407,1961,SK,29,6.369426751592357,11.736139214892756
408,1961,AB,36,6.369426751592357,14.569000404694455
409,1961,BC,109,6.369426751592357,44.111695669769325
411,1962,PE,59,6.289308176100628,23.876972885471467
412,1962,NS,40,6.289308176100628,16.187778227438283
413,1962,NB,42,6.289308176100628,16.997167138810198
414,1962,QC,72,6.289308176100628,29.13800080938891
415,1962,ON,145,6.289308176100628,58.680696074463775
416,1962,MB,40,6.289308176100628,16.187778227438283
417,1962,SK,31,6.289308176100628,12.545528126264669
418,1962,AB,38,6.289308176100628,15.37838931606637
419,1962,BC,109,6.289308176100628,44.111695669769325
421,1963,PE,61,6.211180124223602,24.686361796843382
422,1963,NS,42,6.211180124223602,16.997167138810198
423,1963,NB,44,6.211180124223602,17.806556050182113
424,1963,QC,75,6.211180124223602,30.35208417644678
425,1963,ON,149,6.211180124223602,60.299473897207605
426,1963,MB,43,6.211180124223602,17.401861594496154
427,1963,SK,35,6.211180124223602,14.164305949008497
428,1963,AB,42,6.211180124223602,16.997167138810198
429,1963,BC,107,6.211180124223602,43.30230675839741
431,1964,PE,64,6.097560975609756,25.900445163901253
432,1964,NS,45,6.097560975609756,18.21125050586807
433,1964,NB,46,6.097560975609756,18.615944961554025
434,1964,QC,79,6.097560975609756,31.97086199919061
435,1964,ON,162,6.097560975609756,65.56050182112504
436,1964,MB,49,6.097560975609756,19.8300283286119
437,1964,SK,40,6.097560975609756,16.187778227438283
438,1964,AB,46,6.097560975609756,18.615944961554025
439,1964,BC,108,6.097560975609756,43.70700121408336
441,1965,PE,67,5.9523809523809526,27.114528530959124
442,1965,NS,49,5.9523809523809526,19.8300283286119
443,1965,NB,48,5.9523809523809526,19.42533387292594
444,1965,QC,84,5.9523809523809526,33.994334277620396
445,1965,ON,174,5.9523809523809526,70.41683528935653
446,1965,MB,56,5.9523809523809526,22.662889518413596
447,1965,SK,47,5.9523809523809526,19.020639417239984
448,1965,AB,53,5.9523809523809526,21.448806151355726
449,1965,BC,119,5.9523809523809526,48.15864022662889
451,1966,PE,78,5.714285714285714,31.56616754350465
452,1966,NS,56,5.714285714285714,22.662889518413596
453,1966,NB,51,5.714285714285714,20.63941723998381
454,1966,QC,90,5.714285714285714,36.42250101173614
455,1966,ON,194,5.714285714285714,78.51072440307567
456,1966,MB,62,5.714285714285714,25.091056252529338
457,1966,SK,54,5.714285714285714,21.85350060704168
458,1966,AB,59,5.714285714285714,23.876972885471467
459,1966,BC,138,5.714285714285714,55.84783488466208
461,1967,PE,91,5.524861878453038,36.827195467422094
462,1967,NS,62,5.524861878453038,25.091056252529338
463,1967,NB,54,5.524861878453038,21.85350060704168
464,1967,QC,95,5.524861878453038,38.445973290165924
465,1967,ON,222,5.524861878453038,89.84216916228247
466,1967,MB,71,5.524861878453038,28.733306353702954
467,1967,SK,62,5.524861878453038,25.091056252529338
468,1967,AB,67,5.524861878453038,27.114528530959124
469,1967,BC,150,5.524861878453038,60.70416835289356
471,1968,PE,105,5.319148936170213,42.492917847025495
472,1968,NS,70,5.319148936170213,28.328611898016995
473,1968,NB,62,5.319148936170213,25.091056252529338
474,1968,QC,105,5.319148936170213,42.492917847025495
475,1968,ON,256,5.319148936170213,103.60178065560501
476,1968,MB,78,5.319148936170213,31.56616754350465
477,1968,SK,66,5.319148936170213,26.709834075273168
478,1968,AB,74,5.319148936170213,29.947389720760825
479,1968,BC,176,5.319148936170213,71.22622420072845
481,1969,PE,118,5.0761421319796955,47.753945770942934
482,1969,NS,81,5.0761421319796955,32.78025091056252
483,1969,NB,69,5.0761421319796955,27.92391744233104
484,1969,QC,114,5.0761421319796955,46.13516794819911
485,1969,ON,297,5.0761421319796955,120.19425333872925
486,1969,MB,74,5.0761421319796955,29.947389720760825
487,1969,SK,61,5.0761421319796955,24.686361796843382
488,1969,AB,72,5.0761421319796955,29.13800080938891
489,1969,BC,192,5.0761421319796955,77.70133549170376
491,1970,PE,126,4.926108374384237,50.991501416430594
492,1970,NS,92,4.926108374384237,37.23188992310805
493,1970,NB,78,4.926108374384237,31.56616754350465
494,1970,QC,124,4.926108374384237,50.182112505058676
495,1970,ON,306,4.926108374384237,123.83650343990287
496,1970,MB,73,4.926108374384237,29.54269526507487
497,1970,SK,60,4.926108374384237,24.281667341157426
498,1970,AB,72,4.926108374384237,29.13800080938891
499,1970,BC,207,4.926108374384237,83.77175232699312
501,1971,PE,132,4.784688995215311,53.419668150546336
502,1971,NS,100,4.784688995215311,40.46944556859571
503,1971,NB,80,4.784688995215311,32.375556454876566
504,1971,QC,122,4.784688995215311,49.372723593686764
505,1971,ON,325,4.784688995215311,131.52569809793604
506,1971,MB,72,4.784688995215311,29.13800080938891
507,1971,SK,59,4.784688995215311,23.876972885471467
508,1971,AB,71,4.784688995215311,28.733306353702954
509,1971,BC,222,4.784688995215311,89.84216916228247
511,1972,PE,151,4.566210045662101,61.108862808579524
512,1972,NS,117,4.566210045662101,47.34925131525698
513,1972,NB,90,4.566210045662101,36.42250101173614
514,1972,QC,136,4.566210045662101,55.038445973290166
515,1972,ON,352,4.566210045662101,142.4524484014569
516,1972,MB,77,4.566210045662101,31.161473087818695
517,1972,SK,60,4.566210045662101,24.281667341157426
518,1972,AB,84,4.566210045662101,33.994334277620396
519,1972,BC,233,4.566210045662101,94.293808174828
521,1973,PE,185,4.23728813559322,74.86847430190205
522,1973,NS,147,4.23728813559322,59.49008498583569
523,1973,NB,109,4.23728813559322,44.111695669769325
524,1973,QC,158,4.23728813559322,63.94172399838122
525,1973,ON,440,4.23728813559322,178.06556050182112
526,1973,MB,92,4.23728813559322,37.23188992310805
527,1973,SK,71,4.23728813559322,28.733306353702954
528,1973,AB,104,4.23728813559322,42.08822339133954
529,1973,BC,271,4.23728813559322,109.67219749089438
531,1974,PE,245,3.816793893129771,99.15014164305948
532,1974,NS,198,3.816793893129771,80.12950222581951
533,1974,NB,142,3.816793893129771,57.46661270740591
534,1974,QC,186,3.816793893129771,75.27316875758802
535,1974,ON,583,3.816793893129771,235.936867664913
536,1974,MB,120,3.816793893129771,48.56333468231485
537,1974,SK,90,3.816793893129771,36.42250101173614
538,1974,AB,140,3.816793893129771,56.65722379603399
539,1974,BC,378,3.816793893129771,152.97450424929178
541,1975,PE,277,3.4482758620689653,112.10036422501011
542,1975,NS,232,3.4482758620689653,93.88911371914205
543,1975,NB,185,3.4482758620689653,74.86847430190205
544,1975,QC,220,3.4482758620689653,89.03278025091056
545,1975,ON,749,3.4482758620689653,303.1161473087819
