x,y,MAX_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,SPEED_MAX_GUST,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE
-122.48861111111111,52.54138888888889,,1996-12-24 00:00:00,CASTLE ROCK 6 NORTH,,-21.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2007-07-07 00:00:00,CASTLE ROCK 6 NORTH,,16,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-01-02 00:00:00,CASTLE ROCK 6 NORTH,,-21.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-10-19 00:00:00,CASTLE ROCK 6 NORTH,,-0.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-05-12 00:00:00,CASTLE ROCK 6 NORTH,,14.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-04-19 00:00:00,CASTLE ROCK 6 NORTH,,12,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-01-28 00:00:00,CASTLE ROCK 6 NORTH,,-4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-12-26 00:00:00,CASTLE ROCK 6 NORTH,,-30.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-04-26 00:00:00,CASTLE ROCK 6 NORTH,,8.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1991-04-12 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-12-22 00:00:00,CASTLE ROCK 6 NORTH,,-5.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-04-10 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2003-10-23 00:00:00,CASTLE ROCK 6 NORTH,,7,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-03-23 00:00:00,CASTLE ROCK 6 NORTH,,4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-02-05 00:00:00,CASTLE ROCK 6 NORTH,,-7.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-02-13 00:00:00,CASTLE ROCK 6 NORTH,,4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-01-25 00:00:00,CASTLE ROCK 6 NORTH,,-31.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-05-16 00:00:00,CASTLE ROCK 6 NORTH,,12,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-06-18 00:00:00,CASTLE ROCK 6 NORTH,,14.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-01-21 00:00:00,CASTLE ROCK 6 NORTH,,-1.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-03-15 00:00:00,CASTLE ROCK 6 NORTH,,6.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-09-14 00:00:00,CASTLE ROCK 6 NORTH,,12.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-04-26 00:00:00,CASTLE ROCK 6 NORTH,,8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2007-03-23 00:00:00,CASTLE ROCK 6 NORTH,,7.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1993-08-11 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-12-05 00:00:00,CASTLE ROCK 6 NORTH,,-0.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-05-21 00:00:00,CASTLE ROCK 6 NORTH,,12.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-11-10 00:00:00,CASTLE ROCK 6 NORTH,,4,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-07-26 00:00:00,CASTLE ROCK 6 NORTH,,18,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-11-16 00:00:00,CASTLE ROCK 6 NORTH,,-4,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-12-19 00:00:00,CASTLE ROCK 6 NORTH,,-0.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1993-12-24 00:00:00,CASTLE ROCK 6 NORTH,,-2,109A4NG,BC
-122.48861111111111,52.54138888888889,,1991-07-29 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-09-24 00:00:00,CASTLE ROCK 6 NORTH,,15.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-07-27 00:00:00,CASTLE ROCK 6 NORTH,,16,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-02-01 00:00:00,CASTLE ROCK 6 NORTH,,-1.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-09-09 00:00:00,CASTLE ROCK 6 NORTH,,16.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-01-28 00:00:00,CASTLE ROCK 6 NORTH,,-20,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-07-12 00:00:00,CASTLE ROCK 6 NORTH,,20.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-10-28 00:00:00,CASTLE ROCK 6 NORTH,,3.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2003-03-30 00:00:00,CASTLE ROCK 6 NORTH,,11.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-12-31 00:00:00,CASTLE ROCK 6 NORTH,,-1,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-10-03 00:00:00,CASTLE ROCK 6 NORTH,,3.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-05-16 00:00:00,CASTLE ROCK 6 NORTH,,14,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-06-06 00:00:00,CASTLE ROCK 6 NORTH,,14.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2010-01-06 00:00:00,CASTLE ROCK 6 NORTH,,-20.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-04-17 00:00:00,CASTLE ROCK 6 NORTH,,11.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-05-01 00:00:00,CASTLE ROCK 6 NORTH,,9.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-04-15 00:00:00,CASTLE ROCK 6 NORTH,,5.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-07-30 00:00:00,CASTLE ROCK 6 NORTH,,13.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-01-30 00:00:00,CASTLE ROCK 6 NORTH,,-17,109A4NG,BC
-122.48861111111111,52.54138888888889,,2014-05-15 00:00:00,CASTLE ROCK 6 NORTH,,14,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-04-04 00:00:00,CASTLE ROCK 6 NORTH,,0,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-11-09 00:00:00,CASTLE ROCK 6 NORTH,,6.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-10-20 00:00:00,CASTLE ROCK 6 NORTH,,7.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-09-04 00:00:00,CASTLE ROCK 6 NORTH,,14,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-09-02 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-09-01 00:00:00,CASTLE ROCK 6 NORTH,,10.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-11-19 00:00:00,CASTLE ROCK 6 NORTH,,-3.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-03-13 00:00:00,CASTLE ROCK 6 NORTH,,4.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-05-21 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-10-15 00:00:00,CASTLE ROCK 6 NORTH,,2.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-04-11 00:00:00,CASTLE ROCK 6 NORTH,,11,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-06-30 00:00:00,CASTLE ROCK 6 NORTH,,22,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-07-04 00:00:00,CASTLE ROCK 6 NORTH,,18.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-01-03 00:00:00,CASTLE ROCK 6 NORTH,,4.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-07-17 00:00:00,CASTLE ROCK 6 NORTH,,12.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-09-25 00:00:00,CASTLE ROCK 6 NORTH,,14,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-03-23 00:00:00,CASTLE ROCK 6 NORTH,,-2,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-05-28 00:00:00,CASTLE ROCK 6 NORTH,,14.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2010-03-28 00:00:00,CASTLE ROCK 6 NORTH,,9.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-05-07 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2011-06-12 00:00:00,CASTLE ROCK 6 NORTH,,14.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-07-20 00:00:00,CASTLE ROCK 6 NORTH,,20.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-09-14 00:00:00,CASTLE ROCK 6 NORTH,,16.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-01-04 00:00:00,CASTLE ROCK 6 NORTH,,-20.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-09-24 00:00:00,CASTLE ROCK 6 NORTH,,7.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-12-25 00:00:00,CASTLE ROCK 6 NORTH,,-12.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-11-15 00:00:00,CASTLE ROCK 6 NORTH,,0.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-11-13 00:00:00,CASTLE ROCK 6 NORTH,,5.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-05-03 00:00:00,CASTLE ROCK 6 NORTH,,12.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-05-29 00:00:00,CASTLE ROCK 6 NORTH,,18,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-01-29 00:00:00,CASTLE ROCK 6 NORTH,,-2.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-04-30 00:00:00,CASTLE ROCK 6 NORTH,,5.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-04-11 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2014-03-08 00:00:00,CASTLE ROCK 6 NORTH,,3.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-12-21 00:00:00,CASTLE ROCK 6 NORTH,,-10.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-12-31 00:00:00,CASTLE ROCK 6 NORTH,,-5.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-05-26 00:00:00,CASTLE ROCK 6 NORTH,,14,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-01-12 00:00:00,CASTLE ROCK 6 NORTH,,-0.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-04-01 00:00:00,CASTLE ROCK 6 NORTH,,3.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-06-21 00:00:00,CASTLE ROCK 6 NORTH,,18,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-10-22 00:00:00,CASTLE ROCK 6 NORTH,,7.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-02-28 00:00:00,CASTLE ROCK 6 NORTH,,-2.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-03-12 00:00:00,CASTLE ROCK 6 NORTH,,-1,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-04-18 00:00:00,CASTLE ROCK 6 NORTH,,7.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-09-24 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-05-12 00:00:00,CASTLE ROCK 6 NORTH,,16.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-07-01 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-07-04 00:00:00,CASTLE ROCK 6 NORTH,,14.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-06-14 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-07-04 00:00:00,CASTLE ROCK 6 NORTH,,20.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-03-14 00:00:00,CASTLE ROCK 6 NORTH,,8.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-05-18 00:00:00,CASTLE ROCK 6 NORTH,,11,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-07-30 00:00:00,CASTLE ROCK 6 NORTH,,16.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2011-05-30 00:00:00,CASTLE ROCK 6 NORTH,,13,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-10-05 00:00:00,CASTLE ROCK 6 NORTH,,8.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-01-28 00:00:00,CASTLE ROCK 6 NORTH,,1,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-01-03 00:00:00,CASTLE ROCK 6 NORTH,,-4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-10-09 00:00:00,CASTLE ROCK 6 NORTH,,12,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-09-27 00:00:00,CASTLE ROCK 6 NORTH,,10.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-05-02 00:00:00,CASTLE ROCK 6 NORTH,,11.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-07-04 00:00:00,CASTLE ROCK 6 NORTH,,15.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-03-25 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-06-13 00:00:00,CASTLE ROCK 6 NORTH,,20,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-09-25 00:00:00,CASTLE ROCK 6 NORTH,,16.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-04-01 00:00:00,CASTLE ROCK 6 NORTH,,7.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-12-20 00:00:00,CASTLE ROCK 6 NORTH,,-18,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-12-19 00:00:00,CASTLE ROCK 6 NORTH,,-7.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2010-02-01 00:00:00,CASTLE ROCK 6 NORTH,,-1,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-05-30 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-11-20 00:00:00,CASTLE ROCK 6 NORTH,,-1,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-08-18 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-09-11 00:00:00,CASTLE ROCK 6 NORTH,,17,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-03-13 00:00:00,CASTLE ROCK 6 NORTH,,2.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-04-09 00:00:00,CASTLE ROCK 6 NORTH,,4,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-04-09 00:00:00,CASTLE ROCK 6 NORTH,,2.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-02-20 00:00:00,CASTLE ROCK 6 NORTH,,-15.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-05-30 00:00:00,CASTLE ROCK 6 NORTH,,11,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-05-15 00:00:00,CASTLE ROCK 6 NORTH,,10,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-10-28 00:00:00,CASTLE ROCK 6 NORTH,,6,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-08-20 00:00:00,CASTLE ROCK 6 NORTH,,18.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2008-01-10 00:00:00,CASTLE ROCK 6 NORTH,,-3.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-05-17 00:00:00,CASTLE ROCK 6 NORTH,,10,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-12-01 00:00:00,CASTLE ROCK 6 NORTH,,1.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-05-11 00:00:00,CASTLE ROCK 6 NORTH,,12.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-01-11 00:00:00,CASTLE ROCK 6 NORTH,,-5.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-03-01 00:00:00,CASTLE ROCK 6 NORTH,,-9.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-02-07 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-12-26 00:00:00,CASTLE ROCK 6 NORTH,,-8.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-09-21 00:00:00,CASTLE ROCK 6 NORTH,,6,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-04-17 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-11-24 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-01-05 00:00:00,CASTLE ROCK 6 NORTH,,-4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2007-09-01 00:00:00,CASTLE ROCK 6 NORTH,,11.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-03-25 00:00:00,CASTLE ROCK 6 NORTH,,4.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-12-20 00:00:00,CASTLE ROCK 6 NORTH,,-10.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-12-14 00:00:00,CASTLE ROCK 6 NORTH,,-17.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-09-10 00:00:00,CASTLE ROCK 6 NORTH,,15.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-01-24 00:00:00,CASTLE ROCK 6 NORTH,,5.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-05-08 00:00:00,CASTLE ROCK 6 NORTH,,8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-12-15 00:00:00,CASTLE ROCK 6 NORTH,,-5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2011-07-23 00:00:00,CASTLE ROCK 6 NORTH,,16.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-03-06 00:00:00,CASTLE ROCK 6 NORTH,,0,109A4NG,BC
-122.48861111111111,52.54138888888889,,2007-10-26 00:00:00,CASTLE ROCK 6 NORTH,,2.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-03-07 00:00:00,CASTLE ROCK 6 NORTH,,-3.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-01-31 00:00:00,CASTLE ROCK 6 NORTH,,6.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-11-22 00:00:00,CASTLE ROCK 6 NORTH,,0.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-06-04 00:00:00,CASTLE ROCK 6 NORTH,,19,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-09-21 00:00:00,CASTLE ROCK 6 NORTH,,14.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-09-07 00:00:00,CASTLE ROCK 6 NORTH,,14.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-07-28 00:00:00,CASTLE ROCK 6 NORTH,,17.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-05-31 00:00:00,CASTLE ROCK 6 NORTH,,14.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-05-14 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-06-13 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
