Longitude,Latitude,MAX_REL_HUMIDITY,Date,Name,SPEED_MAX_GUST,MEAN_TEMPERATURE,Climate ID,Province,Station ID
-119.91833333333334,50.90208333333333,,2001-02-27 00:00:00,SUN PEAKS UPPER,,-5.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-10-18 00:00:00,SUN PEAKS UPPER,,-1.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2018-11-17 00:00:00,SUN PEAKS UPPER,,-7.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-07-18 00:00:00,SUN PEAKS UPPER,,8.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2008-03-27 00:00:00,SUN PEAKS UPPER,,-10.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-07-16 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-11-10 00:00:00,SUN PEAKS UPPER,,-5.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-04-03 00:00:00,SUN PEAKS UPPER,,-3.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2014-01-20 00:00:00,SUN PEAKS UPPER,,-4.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2008-04-03 00:00:00,SUN PEAKS UPPER,,2.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2012-02-20 00:00:00,SUN PEAKS UPPER,,-8.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-11-15 00:00:00,SUN PEAKS UPPER,,-8.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-02-28 00:00:00,SUN PEAKS UPPER,,1.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1996-11-21 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2020-01-01 00:00:00,SUN PEAKS UPPER,,-4.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-11-15 00:00:00,SUN PEAKS UPPER,,-5.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1999-02-08 00:00:00,SUN PEAKS UPPER,,-11.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-04-24 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-03-31 00:00:00,SUN PEAKS UPPER,,1.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1996-02-05 00:00:00,SUN PEAKS UPPER,,-8.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2000-11-05 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-12-17 00:00:00,SUN PEAKS UPPER,,-17.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-05-10 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2017-12-01 00:00:00,SUN PEAKS UPPER,,-6.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-04-01 00:00:00,SUN PEAKS UPPER,,-4.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2022-01-26 00:00:00,SUN PEAKS UPPER,,-6.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2013-12-26 00:00:00,SUN PEAKS UPPER,,-3.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1996-01-11 00:00:00,SUN PEAKS UPPER,,-4.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2004-04-29 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2018-12-14 00:00:00,SUN PEAKS UPPER,,-5.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-12-28 00:00:00,SUN PEAKS UPPER,,-7.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-12-26 00:00:00,SUN PEAKS UPPER,,-6.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1999-03-01 00:00:00,SUN PEAKS UPPER,,-10.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-03-10 00:00:00,SUN PEAKS UPPER,,-10.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1997-01-02 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2011-11-24 00:00:00,SUN PEAKS UPPER,,-9.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-01-10 00:00:00,SUN PEAKS UPPER,,-5.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-12-22 00:00:00,SUN PEAKS UPPER,,-9.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-05-24 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1999-03-03 00:00:00,SUN PEAKS UPPER,,-7.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2007-02-01 00:00:00,SUN PEAKS UPPER,,-9.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2017-04-12 00:00:00,SUN PEAKS UPPER,,-3.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2000-12-12 00:00:00,SUN PEAKS UPPER,,-16.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-04-28 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1996-12-30 00:00:00,SUN PEAKS UPPER,,-11.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2012-03-24 00:00:00,SUN PEAKS UPPER,,-6.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-01-07 00:00:00,SUN PEAKS UPPER,,-2.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2018-01-27 00:00:00,SUN PEAKS UPPER,,-9.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2004-04-24 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2017-02-23 00:00:00,SUN PEAKS UPPER,,-12.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2004-03-24 00:00:00,SUN PEAKS UPPER,,-3.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-02-12 00:00:00,SUN PEAKS UPPER,,-19.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2015-03-10 00:00:00,SUN PEAKS UPPER,,0.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2014-12-05 00:00:00,SUN PEAKS UPPER,,-5.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2007-01-08 00:00:00,SUN PEAKS UPPER,,-9.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2015-12-14 00:00:00,SUN PEAKS UPPER,,-9.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2013-02-10 00:00:00,SUN PEAKS UPPER,,-5.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2008-01-06 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-12-30 00:00:00,SUN PEAKS UPPER,,-12.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2004-11-23 00:00:00,SUN PEAKS UPPER,,-6.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-04-30 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2013-03-13 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2012-03-08 00:00:00,SUN PEAKS UPPER,,-5.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2020-12-15 00:00:00,SUN PEAKS UPPER,,-7.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2015-11-11 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2018-01-06 00:00:00,SUN PEAKS UPPER,,-4.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2001-03-27 00:00:00,SUN PEAKS UPPER,,-8.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-11-17 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-09-13 00:00:00,SUN PEAKS UPPER,,8.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-09-29 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2007-02-02 00:00:00,SUN PEAKS UPPER,,-7.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2012-03-21 00:00:00,SUN PEAKS UPPER,,-11.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-04-03 00:00:00,SUN PEAKS UPPER,,-8.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-03-29 00:00:00,SUN PEAKS UPPER,,-1.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-11-23 00:00:00,SUN PEAKS UPPER,,-4.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-07-11 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-03-05 00:00:00,SUN PEAKS UPPER,,-11.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-04-04 00:00:00,SUN PEAKS UPPER,,-1.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1999-12-09 00:00:00,SUN PEAKS UPPER,,-9.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-04-01 00:00:00,SUN PEAKS UPPER,,2.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2007-03-11 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2020-02-28 00:00:00,SUN PEAKS UPPER,,-3.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1999-03-28 00:00:00,SUN PEAKS UPPER,,-10.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1996-03-14 00:00:00,SUN PEAKS UPPER,,1.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-04-08 00:00:00,SUN PEAKS UPPER,,0.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1998-02-05 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-09-04 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-01-13 00:00:00,SUN PEAKS UPPER,,-23.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-04-21 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-10-09 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-11-24 00:00:00,SUN PEAKS UPPER,,-1.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2000-03-18 00:00:00,SUN PEAKS UPPER,,-6.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-02-27 00:00:00,SUN PEAKS UPPER,,-1.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2015-02-09 00:00:00,SUN PEAKS UPPER,,-1.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2021-03-03 00:00:00,SUN PEAKS UPPER,,-7.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-06-11 00:00:00,SUN PEAKS UPPER,,8.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2012-02-05 00:00:00,SUN PEAKS UPPER,,-6.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-04-23 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-09-10 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-01-21 00:00:00,SUN PEAKS UPPER,,-10.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1999-12-14 00:00:00,SUN PEAKS UPPER,,-9.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-12-18 00:00:00,SUN PEAKS UPPER,,-9.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1998-03-07 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-11-22 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2015-03-24 00:00:00,SUN PEAKS UPPER,,-2.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-04-06 00:00:00,SUN PEAKS UPPER,,-2.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2000-04-20 00:00:00,SUN PEAKS UPPER,,0.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1996-02-14 00:00:00,SUN PEAKS UPPER,,-1.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2020-02-24 00:00:00,SUN PEAKS UPPER,,-10.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2004-04-23 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-06-01 00:00:00,SUN PEAKS UPPER,,3.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-04-15 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-02-05 00:00:00,SUN PEAKS UPPER,,-8.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2021-01-17 00:00:00,SUN PEAKS UPPER,,-6.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-04-02 00:00:00,SUN PEAKS UPPER,,-7.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2020-12-17 00:00:00,SUN PEAKS UPPER,,-6.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2014-03-05 00:00:00,SUN PEAKS UPPER,,-4.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2017-02-15 00:00:00,SUN PEAKS UPPER,,-3.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-11-23 00:00:00,SUN PEAKS UPPER,,-12.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-02-12 00:00:00,SUN PEAKS UPPER,,-17.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2013-01-19 00:00:00,SUN PEAKS UPPER,,-2.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2001-02-19 00:00:00,SUN PEAKS UPPER,,-7.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-12-21 00:00:00,SUN PEAKS UPPER,,-7.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2020-02-17 00:00:00,SUN PEAKS UPPER,,-11.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-03-20 00:00:00,SUN PEAKS UPPER,,6.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2018-12-27 00:00:00,SUN PEAKS UPPER,,-11.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2013-12-20 00:00:00,SUN PEAKS UPPER,,-12.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-12-20 00:00:00,SUN PEAKS UPPER,,-6.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-04-07 00:00:00,SUN PEAKS UPPER,,-5.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2020-10-27 00:00:00,SUN PEAKS UPPER,,-1.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-01-20 00:00:00,SUN PEAKS UPPER,,-10.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-03-31 00:00:00,SUN PEAKS UPPER,,-2.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1998-12-13 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-01-04 00:00:00,SUN PEAKS UPPER,,-7.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1998-12-23 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2004-12-23 00:00:00,SUN PEAKS UPPER,,-7.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2001-01-09 00:00:00,SUN PEAKS UPPER,,-4.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-04-27 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-02-16 00:00:00,SUN PEAKS UPPER,,-4.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-02-26 00:00:00,SUN PEAKS UPPER,,-2.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2000-11-13 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1995-12-01 00:00:00,SUN PEAKS UPPER,,-7.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-03-04 00:00:00,SUN PEAKS UPPER,,-3.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-02-26 00:00:00,SUN PEAKS UPPER,,-1.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2001-01-07 00:00:00,SUN PEAKS UPPER,,-7.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-02-15 00:00:00,SUN PEAKS UPPER,,-10.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2018-12-02 00:00:00,SUN PEAKS UPPER,,-10.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2012-12-27 00:00:00,SUN PEAKS UPPER,,-9.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1994-03-02 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1999-02-04 00:00:00,SUN PEAKS UPPER,,-9.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2022-04-07 00:00:00,SUN PEAKS UPPER,,-1.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-01-08 00:00:00,SUN PEAKS UPPER,,-12.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,1996-01-26 00:00:00,SUN PEAKS UPPER,,-18.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-03-19 00:00:00,SUN PEAKS UPPER,,4.3,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2002-11-03 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-11-05 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2018-02-14 00:00:00,SUN PEAKS UPPER,,-10.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-11-13 00:00:00,SUN PEAKS UPPER,,,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-04-09 00:00:00,SUN PEAKS UPPER,,-2.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2006-03-14 00:00:00,SUN PEAKS UPPER,,-8.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2019-12-22 00:00:00,SUN PEAKS UPPER,,-9.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2001-04-07 00:00:00,SUN PEAKS UPPER,,-6.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-12-31 00:00:00,SUN PEAKS UPPER,,-13.8,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2003-12-30 00:00:00,SUN PEAKS UPPER,,-15.0,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2016-11-21 00:00:00,SUN PEAKS UPPER,,-3.5,116QK0M,BC,1568
-119.91833333333334,50.90208333333333,,2005-12-28 00:00:00,SUN PEAKS UPPER,,-6.3,116QK0M,BC,1568
